transaction_amount,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,Amount_to_Avg_Ratio,Intrusion_Score,Is_New_Account,intrusion_score,ratio_monto_vs_promedio,riesgo_compuesto_ip,transaction_type_Transfer,transaction_type_Withdrawal,payment_mode_NetBanking,payment_mode_UPI,payment_mode_Wallet,device_type_Web,device_type_iOS,device_location_Chennai,device_location_Delhi,device_location_Hyderabad,device_location_Mumbai,categoria_antiguedad_Menor_1_ano,categoria_antiguedad_1_a_2_anos,categoria_antiguedad_Veterana_gt_2anos,momento_del_dia_Manana,momento_del_dia_Tarde,momento_del_dia_Noche
1078.2,971.0,3.0,4.0,9282.58,0.0,0.667,2.0,0.0,0.11615305227641454,6.0,0.0,6.0,0.11614054061041107,3.335,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48497.0,1373.0,11.0,2.0,24200.58,0.0,0.057,1.0,0.0,2.003960235663773,3.0,0.0,3.0,2.00387743279571,0.171,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
41630.51,857.0,14.0,4.0,19485.63,0.0,0.266,8.0,0.0,2.136472364506562,12.0,0.0,12.0,2.1363627266489895,1.33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10656.34,1047.0,9.0,4.0,9384.02,0.0,0.656,5.0,0.0,1.1355836837517397,9.0,0.0,9.0,1.1354626841498472,3.2800000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9132.16,702.0,17.0,3.0,10864.59,0.0,0.912,2.0,0.0,0.8405434535495587,5.0,0.0,5.0,0.8404660952603586,3.648,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9211.06,1355.0,23.0,4.0,28270.21,0.0,0.779,7.0,0.0,0.3258221286647676,11.0,0.0,11.0,0.3258106037909237,3.895,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15246.9,1978.0,4.0,1.0,28448.77,0.0,0.58,2.0,0.0,0.5359423272078195,3.0,0.0,3.0,0.5359234890123892,1.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26261.58,1817.0,12.0,4.0,12609.29,0.0,0.232,6.0,0.0,2.0827167905568036,10.0,0.0,10.0,2.082551630454177,1.1600000000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
21625.65,973.0,3.0,2.0,20407.19,0.0,0.949,9.0,0.0,1.0597073874453073,11.0,0.0,11.0,1.0596554618513452,2.847,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14596.9,52.0,8.0,4.0,29401.17,0.0,0.404,4.0,0.0,0.49647343966243523,8.0,0.0,8.0,0.4964565540570645,2.02,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30612.05,470.0,17.0,0.0,29822.13,0.0,0.15,5.0,0.0,1.0264877123129703,5.0,0.0,5.0,1.0264532931318744,0.15,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7017.72,1135.0,2.0,3.0,2256.81,0.0,0.022,1.0,0.0,3.109575019607322,4.0,0.0,4.0,3.1081977668625793,0.088,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14642.63,1658.0,23.0,2.0,16649.62,1.0,0.95,1.0,0.0,0.8794573089355793,3.0,0.0,3.0,0.8794044906435916,2.8499999999999996,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18349.77,714.0,10.0,1.0,21825.86,0.0,0.778,9.0,0.0,0.8407352562510709,10.0,0.0,10.0,0.8406967378725112,1.556,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22830.7,1042.0,3.0,4.0,5687.3,0.0,0.216,5.0,0.0,4.014330174247886,9.0,0.0,9.0,4.013624457219204,1.08,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39269.54,158.0,8.0,4.0,24674.96,0.0,0.142,3.0,0.0,1.5914732992474963,7.0,0.0,7.0,1.5914088043585741,0.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10023.71,347.0,11.0,1.0,14106.78,0.0,0.959,2.0,0.0,0.7105597450304038,3.0,0.0,3.0,0.7105093785131323,1.918,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25736.01,1012.0,9.0,4.0,14982.77,0.0,0.241,7.0,0.0,1.717707072857689,11.0,0.0,11.0,1.7175924350146858,1.205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
29641.11,233.0,9.0,0.0,8302.26,0.0,0.462,4.0,0.0,3.570245933035101,4.0,0.0,4.0,3.5698159518068806,0.462,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2370.2,1143.0,8.0,2.0,9074.41,0.0,0.611,3.0,0.0,0.2611960447015288,5.0,0.0,5.0,0.2611672640685104,1.833,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30396.87,363.0,9.0,4.0,2616.78,0.0,0.062,2.0,0.0,11.616135097333363,6.0,0.0,6.0,11.611697698049491,0.31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8567.68,1117.0,8.0,1.0,27952.33,0.0,0.344,4.0,0.0,0.3065104053937543,5.0,0.0,5.0,0.30649944031712856,0.688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3299.33,564.0,0.0,1.0,11517.82,1.0,0.944,9.0,0.0,0.2864543811242058,10.0,0.0,10.0,0.2864295127452291,1.888,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47446.83,75.0,21.0,2.0,4950.68,0.0,0.7,7.0,0.0,9.58390160543602,9.0,0.0,9.0,9.581966120589376,2.0999999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48283.32,1421.0,15.0,0.0,4356.41,0.0,0.368,1.0,0.0,11.083281876591046,1.0,0.0,1.0,11.080738328502482,0.368,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40429.45,1924.0,13.0,2.0,12281.44,0.0,0.792,3.0,0.0,3.2919144660560975,5.0,0.0,5.0,3.2916464480998884,2.3760000000000003,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15265.46,630.0,12.0,4.0,19003.02,1.0,0.837,5.0,0.0,0.8033175779428743,9.0,0.0,9.0,0.8032753070139896,4.185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4928.72,1647.0,5.0,0.0,23355.69,0.0,0.152,7.0,0.0,0.21102866153815197,7.0,0.0,7.0,0.21101962649673395,0.152,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34227.44,1168.0,13.0,0.0,27745.69,0.0,0.587,5.0,0.0,1.2336128602316252,5.0,0.0,5.0,1.2335684004110041,0.587,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22035.62,1119.0,7.0,1.0,19107.49,0.0,0.367,9.0,0.0,1.1532451410415496,10.0,0.0,10.0,1.1531847885416375,0.734,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6145.81,93.0,22.0,0.0,12677.79,0.0,0.507,7.0,0.0,0.4847698218695845,7.0,0.0,7.0,0.48473158716249737,0.507,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24784.09,1987.0,22.0,4.0,12716.2,0.0,0.469,1.0,0.0,1.94901700193454,5.0,0.0,5.0,1.9488637435913565,2.3449999999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1767.71,236.0,17.0,4.0,17273.87,0.0,0.504,6.0,0.0,0.10233433503899243,10.0,0.0,10.0,0.1023284111544689,2.52,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45470.55,1293.0,19.0,4.0,16187.42,0.0,0.522,2.0,0.0,2.8090053881347368,6.0,0.0,6.0,2.8088318687061493,2.6100000000000003,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12976.06,901.0,0.0,3.0,19260.36,0.0,0.069,6.0,0.0,0.6737184559374798,9.0,0.0,9.0,0.6736834782175297,0.276,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33142.99,1022.0,11.0,0.0,15151.97,0.0,0.178,3.0,0.0,2.1873716751023133,3.0,0.0,3.0,2.1872273224325,0.178,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
15619.97,29.0,10.0,0.0,1863.83,1.0,0.566,2.0,0.0,8.380576554728703,2.0,1.0,2.0,8.376082538354703,0.566,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26027.4,1068.0,12.0,4.0,15071.78,1.0,0.936,3.0,0.0,1.7268962259268648,7.0,0.0,7.0,1.7267816554079607,4.680000000000001,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27358.18,1898.0,22.0,1.0,773.74,0.0,0.747,4.0,0.0,35.35836327448497,5.0,0.0,5.0,35.31272426878695,1.494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9283.48,764.0,3.0,0.0,5500.18,0.0,0.239,1.0,0.0,1.6878502158111188,1.0,0.0,1.0,1.6875433997796834,0.239,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48480.75,1476.0,5.0,3.0,11684.09,0.0,0.362,4.0,0.0,4.149296179676808,7.0,0.0,7.0,4.148941086461465,1.448,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38767.88,950.0,21.0,0.0,16584.12,0.0,0.335,6.0,0.0,2.3376507164685254,6.0,0.0,6.0,2.337509767791852,0.335,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
46977.97,279.0,12.0,2.0,5626.06,0.0,0.77,5.0,0.0,8.350065587640373,7.0,0.0,7.0,8.348581674977696,2.31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
44746.63,1768.0,23.0,3.0,8361.39,0.0,0.972,5.0,0.0,5.351577907501025,8.0,0.0,8.0,5.350937949557483,3.888,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29915.1,415.0,21.0,1.0,11288.91,0.0,0.355,9.0,0.0,2.649954690045363,10.0,0.0,10.0,2.649719971195519,0.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46097.62,1541.0,12.0,3.0,5996.73,0.0,0.015,9.0,0.0,7.687126150418646,12.0,0.0,12.0,7.6858444778274455,0.06,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4470.2,313.0,5.0,3.0,29963.03,0.0,0.937,9.0,0.0,0.1491905191163911,12.0,0.0,12.0,0.14918554012928167,3.748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9839.34,1703.0,21.0,0.0,24160.93,1.0,0.753,7.0,0.0,0.40724177421978375,7.0,0.0,7.0,0.4072249195325042,0.753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2309.1,1318.0,3.0,3.0,24347.0,0.0,0.834,9.0,0.0,0.09484125354253091,12.0,0.0,12.0,0.09483735830458354,3.336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16300.25,1581.0,20.0,4.0,17109.03,0.0,0.209,8.0,0.0,0.9527278869696295,12.0,0.0,12.0,0.9526722045490278,1.045,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
19464.43,1018.0,2.0,3.0,28843.61,0.0,0.646,8.0,0.0,0.6748264173589922,11.0,0.0,11.0,0.6748030221244108,2.584,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13603.88,819.0,14.0,0.0,21992.8,0.0,0.233,5.0,0.0,0.6185606198392201,5.0,0.0,5.0,0.6185324955214652,0.233,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
41445.44,1062.0,10.0,4.0,9993.27,0.0,0.012,9.0,0.0,4.1473351565603656,13.0,0.0,13.0,4.146920185266158,0.06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17869.83,400.0,1.0,1.0,18354.75,0.0,0.157,8.0,0.0,0.9735806807502146,9.0,0.0,9.0,0.9735276412023481,0.314,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14082.68,1449.0,22.0,2.0,16356.63,0.0,0.923,7.0,0.0,0.8609768638160795,9.0,0.0,9.0,0.8609242292434784,2.769,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27157.67,1942.0,16.0,3.0,17450.64,0.0,0.215,8.0,0.0,1.5562563894504728,11.0,0.0,11.0,1.5561672140841778,0.86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7089.17,1800.0,22.0,4.0,24550.03,0.0,0.585,9.0,0.0,0.2887642092494388,13.0,0.0,13.0,0.2887524474533248,2.925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40119.74,918.0,1.0,4.0,15335.9,0.0,0.968,7.0,0.0,2.6160668757621006,11.0,0.0,11.0,2.615896302381837,4.84,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3773.8,1983.0,20.0,1.0,21886.35,0.0,0.076,9.0,0.0,0.17242710639279735,10.0,0.0,10.0,0.17241922845844748,0.152,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49345.0,151.0,0.0,1.0,7592.84,0.0,0.808,8.0,0.0,6.498885792404423,9.0,0.0,9.0,6.498029982196096,1.616,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38623.63,655.0,4.0,2.0,27968.65,0.0,0.598,2.0,0.0,1.3809615408680789,4.0,0.0,4.0,1.3809121672956222,1.794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9975.85,1689.0,19.0,2.0,2682.83,0.0,0.323,3.0,0.0,3.718405564273547,5.0,0.0,5.0,3.717020079513233,0.9690000000000001,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
325.83,818.0,16.0,0.0,29808.04,0.0,0.364,6.0,0.0,0.010930943463575598,6.0,0.0,6.0,0.010930576764632473,0.364,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
40782.3,957.0,0.0,2.0,19016.93,0.0,0.027,6.0,0.0,2.1445259566081383,8.0,0.0,8.0,2.144413193233964,0.081,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35357.52,1913.0,6.0,2.0,14151.55,1.0,0.256,7.0,0.0,2.4984909780200755,9.0,0.0,9.0,2.498314438034135,0.768,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
36463.91,1374.0,2.0,4.0,9392.39,0.0,0.423,2.0,0.0,3.882282358377368,6.0,0.0,6.0,3.8818690589872245,2.1149999999999998,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38574.95,254.0,15.0,3.0,12213.74,0.0,0.717,1.0,0.0,3.1583241496871555,4.0,0.0,4.0,3.158065583057846,2.868,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3748.53,775.0,15.0,3.0,23494.46,1.0,0.275,5.0,0.0,0.15954952784613907,8.0,0.0,8.0,0.15954273719263212,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17955.36,885.0,11.0,2.0,4269.05,0.0,0.58,2.0,0.0,4.205938089270447,4.0,0.0,4.0,4.204953103593635,1.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
5837.66,921.0,8.0,0.0,7655.29,0.0,0.732,9.0,0.0,0.7625654939264221,9.0,0.0,9.0,0.7624658940557372,0.732,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
43162.02,1038.0,13.0,0.0,3799.45,0.0,0.699,3.0,0.0,11.360070536525024,3.0,0.0,3.0,11.357081398255469,0.699,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
31183.74,929.0,11.0,3.0,12856.97,0.0,0.59,2.0,0.0,2.4254346086208494,5.0,0.0,5.0,2.425245975842221,2.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16578.36,948.0,15.0,1.0,11677.96,0.0,0.58,7.0,0.0,1.4196280857273018,8.0,0.0,8.0,1.4195065314034814,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3224.74,458.0,16.0,4.0,19498.67,0.0,0.721,6.0,0.0,0.1653825619901255,10.0,0.0,10.0,0.16537408068957066,3.605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15583.57,275.0,11.0,2.0,29871.91,0.0,0.336,8.0,0.0,0.5216797318952822,10.0,0.0,10.0,0.5216622685905056,1.008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16292.91,1524.0,3.0,4.0,26781.54,0.0,0.45,9.0,0.0,0.6083634473596365,13.0,0.0,13.0,0.6083407324323981,2.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36493.83,1272.0,16.0,2.0,26423.29,0.0,0.966,3.0,0.0,1.3811236223801049,5.0,0.0,5.0,1.381071355181161,2.8979999999999997,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
31896.0,259.0,0.0,2.0,19406.67,0.0,0.669,8.0,0.0,1.6435586321610045,10.0,0.0,10.0,1.6434739461254237,2.007,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44366.28,964.0,20.0,3.0,8191.19,0.0,0.52,4.0,0.0,5.416341215378962,7.0,0.0,7.0,5.415680056248696,2.08,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23637.14,1324.0,16.0,4.0,11584.16,0.0,0.578,2.0,0.0,2.0404707807903204,6.0,0.0,6.0,2.0402946528144628,2.8899999999999997,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6023.73,552.0,10.0,4.0,7578.65,0.0,0.104,4.0,0.0,0.7948288943281455,8.0,0.0,8.0,0.7947240307929786,0.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35676.58,641.0,18.0,1.0,4139.01,0.0,0.592,4.0,0.0,8.619592607894159,5.0,0.0,5.0,8.617510585723222,1.184,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38051.21,1112.0,22.0,1.0,13137.33,0.0,0.836,8.0,0.0,2.8964188309192203,9.0,0.0,9.0,2.8961983752881832,1.672,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28085.8,916.0,17.0,4.0,26936.3,0.0,0.524,8.0,0.0,1.0426747548846724,12.0,0.0,12.0,1.042636047413809,2.62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
